Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Poster-src,Duration (minutes),embedding_text,Generated_Plot
In Cold Blood,7.9,1967,R,Biography,Richard Brooks,Robert BlakeScott WilsonJohn Forsythe,89.0,"https://m.media-amazon.com/images/M/MV5BZDkyYTkxMzAtYjA3NS00ZmY5LWI0MGQtYzcyNTJiMzA4ODMwXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",134.0,Title: In Cold Blood; Genre: Biography; Director: Richard Brooks; Cast: Robert BlakeScott WilsonJohn Forsythe,"In Cold Blood recounts the chilling true story of the Clutter family murder in Holcomb, Kansas.  Two drifters meticulously plan and execute the brutal crime, leaving a small town shattered.  The ensuing investigation unfolds, slowly revealing the killers' motives and the devastating impact on the community.  A gripping narrative explores the psychology of the perpetrators and the relentless pursuit of justice.  The film culminates in a stark portrayal of capital punishment."
Imperium,6.5,2016,R,Biography,Daniel Ragussis,Daniel RadcliffeToni ColletteTracy Letts,68.0,"https://m.media-amazon.com/images/M/MV5BMTk5MzY4MDkwOV5BMl5BanBnXkFtZTgwMzY4MzczOTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0,Title: Imperium; Genre: Biography; Director: Daniel Ragussis; Cast: Daniel RadcliffeToni ColletteTracy Letts,"In the aftermath of 9/11, an undercover FBI agent infiltrates a neo-Nazi group suspected of planning a domestic terrorist attack.  He must navigate the dangerous world of white supremacist ideology, balancing his mission with the growing threat to his own identity and safety.  As he gains the trust of the group's charismatic leader, the agent faces impossible choices with potentially catastrophic consequences. The line between his mission and his morality blurs, forcing him to confront the insidious nature of hate.  His ultimate goal is to prevent a devastating act of violence, but at what cost?"
Big Eyes,7.0,2014,PG-13,Biography,Tim Burton,Amy AdamsChristoph WaltzDanny Huston,62.0,"https://m.media-amazon.com/images/M/MV5BMjA2ODM5MDE3N15BMl5BanBnXkFtZTgwOTIxNjc1MzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",106.0,Title: Big Eyes; Genre: Biography; Director: Tim Burton; Cast: Amy AdamsChristoph WaltzDanny Huston,"Big Eyes tells the true story of Margaret Keane, a talented painter whose distinctive big-eyed portraits become a sensation.  Her husband, Walter, takes credit for her work, building a lucrative empire on her artistic genius.  Margaret endures years of emotional and professional manipulation before finally finding the courage to fight for her identity and reclaim her artistic legacy.  The film explores themes of ambition, deception, and the struggle for self-expression in the face of overwhelming adversity."
Woman in Gold,7.3,2015,PG-13,Biography,Simon Curtis,Helen MirrenRyan ReynoldsDaniel Brühl,51.0,"https://m.media-amazon.com/images/M/MV5BNjc0NzY3OTE0Nl5BMl5BanBnXkFtZTgwNDUyODA4MzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0,Title: Woman in Gold; Genre: Biography; Director: Simon Curtis; Cast: Helen MirrenRyan ReynoldsDaniel Brühl,"Maria Altmann, an elderly Jewish woman, embarks on a decades-long legal battle to reclaim five Gustav Klimt paintings stolen from her family by the Nazis.  Facing formidable opposition from the Austrian government, she enlists the help of a young, ambitious lawyer.  Their unlikely partnership challenges powerful institutions and confronts the lingering shadows of the Holocaust.  Through perseverance and determination, Maria fights to recover not only priceless art but also a vital piece of her family's history."
Skin,6.8,2018,R,Biography,Guy Nattiv,Jamie BellDanielle MacdonaldDaniel Henshall,58.0,"https://m.media-amazon.com/images/M/MV5BNmFiZjA2ZDEtMTk5NC00MTZkLTgxYTEtMjFmOGI4OTVmNmEwXkEyXkFqcGdeQXVyODQyNzE3MDg@._V1_QL75_UX190_CR0,0,190,281_.jpg",118.0,Title: Skin; Genre: Biography; Director: Guy Nattiv; Cast: Jamie BellDanielle MacdonaldDaniel Henshall,"Based on a true story, ""Skin"" follows a young man's harrowing journey through white supremacist ideology and his desperate struggle for redemption.  His path takes a dramatic turn when he falls in love and faces the devastating consequences of his past actions.  He confronts the deep-seated hatred he embraced and the monumental task of rebuilding his life.  This intense biographical drama explores themes of forgiveness, self-acceptance, and the enduring power of love in the face of immense prejudice."
Breathe,7.1,2017,PG-13,Biography,Andy Serkis,Andrew GarfieldClaire FoyHugh Bonneville,51.0,"https://m.media-amazon.com/images/M/MV5BMTg1OTcxNjU1MV5BMl5BanBnXkFtZTgwMzcwMTQ3MzI@._V1_QL75_UX190_CR0,0,190,281_.jpg",118.0,Title: Breathe; Genre: Biography; Director: Andy Serkis; Cast: Andrew GarfieldClaire FoyHugh Bonneville,"Based on a true story, ""Breathe"" follows Robin Cavendish, a spirited young man whose life is dramatically altered by polio.  Confined to a wheelchair and given little hope, Robin refuses to surrender to his fate. With the unwavering support of his wife Diana, he defies medical predictions, embarking on a life filled with adventure and pushing the boundaries of what's considered possible.  Their extraordinary journey inspires others and celebrates the power of love and resilience in the face of adversity."
Big George Foreman,6.6,2023,PG-13,Biography,George Tillman Jr.,Frank BaldwinGeorge Tillman Jr.Dan Gordon,45.0,"https://m.media-amazon.com/images/M/MV5BNWNlZTUxOTUtMzhmMi00MDg4LThmMTYtNjZhNmM2NDcxYjk1XkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_QL75_UX190_CR0,0,190,281_.jpg",129.0,Title: Big George Foreman; Genre: Biography; Director: George Tillman Jr.; Cast: Frank BaldwinGeorge Tillman Jr.Dan Gordon,"From celebrated boxing champion to devout family man and entrepreneur, ""Big George Foreman"" chronicles the extraordinary life of George Foreman.  The film traces his incredible journey, from Olympic gold medalist to two-time world heavyweight champion, showcasing both his triumphs in the ring and his struggles outside of it.  It explores his profound spiritual transformation and the surprising second act that redefined his legacy.  Ultimately, the film reveals the complex and inspiring figure behind the legend."
The Survivor,6.7,2021,R,Biography,Barry Levinson,Ben FosterBilly MagnussenVicky Krieps,71.0,"https://m.media-amazon.com/images/M/MV5BNzI3MTQzM2UtNjUzNS00YjFiLTkwZDMtMzRlYTVmYjJhMTU2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",129.0,Title: The Survivor; Genre: Biography; Director: Barry Levinson; Cast: Ben FosterBilly MagnussenVicky Krieps,"Based on the incredible true story, ""The Survivor"" follows Harry Haft, a Polish Jew who survives the horrors of Auschwitz by becoming a prize fighter for the amusement of Nazi officers.  After liberation, he relentlessly searches for his lost love, battling both physical and emotional demons while pursuing a new life in America.  His past trauma continues to haunt him as he grapples with the impossible choices he made to survive.  Ultimately, Harry must confront his past to find a measure of peace and redemption."
Riding in Cars with Boys,6.5,2001,PG-13,Biography,Penny Marshall,Drew BarrymoreSteve ZahnAdam Garcia,43.0,"https://m.media-amazon.com/images/M/MV5BOGM5MzU5NTgtMmJjZC00Y2E2LThhZGQtMGE5YzUxZTgwZDdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg",132.0,Title: Riding in Cars with Boys; Genre: Biography; Director: Penny Marshall; Cast: Drew BarrymoreSteve ZahnAdam Garcia,"Based on a true story,  a young woman's life takes unexpected turns as she navigates teenage pregnancy, a tumultuous relationship with the father, and the challenges of single motherhood.  Her journey is marked by both heartbreaking setbacks and surprising triumphs, forcing her to confront her own resilience and find strength in unexpected places.  Against the odds, she fights to build a stable life for herself and her son, learning valuable lessons about love, loss, and the enduring power of hope."
Senna,8.5,2010,PG-13,Documentary,Asif Kapadia,Ayrton SennaReginaldo LemeJohn Bisignano,79.0,"https://m.media-amazon.com/images/M/MV5BNDBjYjc3NGEtODNlMi00Yjk1LTgyMTItZmYxODg4MDUyMmVlXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",106.0,Title: Senna; Genre: Documentary; Director: Asif Kapadia; Cast: Ayrton SennaReginaldo LemeJohn Bisignano,"Senna chronicles the life and career of the legendary Formula 1 driver, Ayrton Senna.  The film uses archive footage to paint a captivating portrait of his unmatched skill, relentless ambition, and tragic death.  Through exhilarating races and intense rivalries, Senna's story unfolds, revealing the man behind the wheel as well as the pressures and complexities of the sport.  Ultimately, the documentary explores his legacy as one of the greatest drivers of all time."
Stronger,6.9,2017,R,Biography,David Gordon Green,Jake GyllenhaalTatiana MaslanyMiranda Richardson,76.0,"https://m.media-amazon.com/images/M/MV5BMjE0NjIwMjQ2MF5BMl5BanBnXkFtZTgwNTAxMzQ5MjI@._V1_QL75_UX190_CR0,0,190,281_.jpg",119.0,Title: Stronger; Genre: Biography; Director: David Gordon Green; Cast: Jake GyllenhaalTatiana MaslanyMiranda Richardson,"Stronger tells the true story of Jeff Bauman, a Boston Marathon spectator severely injured in the 2013 bombing.  Facing devastating physical and emotional challenges, Jeff embarks on a grueling journey of recovery and rehabilitation.  His resilience is tested as he confronts the trauma and seeks to rebuild his life.  Ultimately, his determination inspires him and those around him.  The film explores his strength, his relationships, and his unexpected path to healing."
Greater,7.4,2016,PG,Biography,David L. Hunt,Neal McDonoughLeslie EasterbrookChristopher Severio,35.0,"https://m.media-amazon.com/images/M/MV5BODc2NjQ4MDIwN15BMl5BanBnXkFtZTgwMTQ5MzgzOTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",130.0,Title: Greater; Genre: Biography; Director: David L. Hunt; Cast: Neal McDonoughLeslie EasterbrookChristopher Severio,"Greater tells the inspiring true story of Brandon Burlsworth, a walk-on football player at the University of Arkansas.  Despite facing incredible odds and initial setbacks, Brandon's unwavering faith and relentless dedication propel him to achieve the seemingly impossible.  His journey showcases the power of perseverance and the importance of faith in the face of adversity.  Ultimately, his legacy extends far beyond the gridiron, leaving a lasting impact on those around him."
An American Crime,7.2,2007,R,Biography,Tommy O'Haver,Elliot PageHayley McFarlandNick Searcy,66.0,"https://m.media-amazon.com/images/M/MV5BZDc5YjRlMzctODMxYS00MDA4LWFhNjktMjhlODBkZTE0ZDQwXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_QL75_UX190_CR0,1,190,281_.jpg",98.0,Title: An American Crime; Genre: Biography; Director: Tommy O'Haver; Cast: Elliot PageHayley McFarlandNick Searcy,"Based on a true story, ""An American Crime"" recounts the horrific 1965 torture and murder of Sylvia Likens by Gertrude Baniszewski, her own children, and neighborhood teenagers.  Driven by cruelty and a thirst for power, Baniszewski systematically abuses the vulnerable Sylvia, inflicting unimaginable suffering.  The film explores the chilling depths of human depravity and the devastating consequences of unchecked power.  As the abuse escalates, the community's silence becomes complicit in the tragedy."
Just Mercy,7.6,2019,PG-13,Biography,Destin Daniel Cretton,Michael B. JordanJamie FoxxBrie Larson,68.0,"https://m.media-amazon.com/images/M/MV5BYmM4YzA5NjUtZGEyOS00YzllLWJmM2UtZjhhNmJhM2E1NjUxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",137.0,Title: Just Mercy; Genre: Biography; Director: Destin Daniel Cretton; Cast: Michael B. JordanJamie FoxxBrie Larson,"In the gripping true story of Just Mercy, a young lawyer fights tirelessly to free a wrongly convicted man from death row.  He faces relentless opposition from a corrupt legal system and battles against overwhelming odds for justice.  The film explores themes of racial injustice, perseverance, and the unwavering pursuit of truth.  Through challenging legal battles and profound human connection, the lawyer's dedication is put to the ultimate test.  His fight unveils a broken system and the profound impact of systemic racism."
What's Love Got to Do with It,7.3,1993,R,Biography,Brian Gibson,Angela BassettLaurence FishburneRaéVen Kelly,76.0,"https://m.media-amazon.com/images/M/MV5BYmQ1Yjk3N2UtODMwMy00MDVhLTkzNDctM2ZkODZmYzdhNjk3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_QL75_UX190_CR0,2,190,281_.jpg",118.0,Title: What's Love Got to Do with It; Genre: Biography; Director: Brian Gibson; Cast: Angela BassettLaurence FishburneRaéVen Kelly,"This biographical drama chronicles the tumultuous life and career of Tina Turner, from her abusive marriage to Ike Turner to her triumphant rise as a solo artist.  The film explores her journey through hardship, resilience, and ultimately, self-discovery.  It showcases her incredible strength in overcoming adversity and finding her voice as a powerful woman in the music industry.  Her transformation from victim to icon is a compelling testament to the power of self-belief."
Secretariat,7.2,2010,PG,Biography,Randall Wallace,Diane LaneJohn MalkovichMargo Martindale,61.0,"https://m.media-amazon.com/images/M/MV5BMTg0NDI2MTI0N15BMl5BanBnXkFtZTcwNjE4NzU1Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",123.0,Title: Secretariat; Genre: Biography; Director: Randall Wallace; Cast: Diane LaneJohn MalkovichMargo Martindale,"Based on the true story, Secretariat follows the remarkable journey of a seemingly ordinary chestnut filly destined for greatness.  Against the odds and facing skepticism from the racing world, her determined owner and trainer fight for her chance to compete at the highest level.  Secretariat's breathtaking speed and unwavering spirit captivate a nation as she strives for the Triple Crown.  A story of triumph against all expectations, this film celebrates the bond between horse and human and the pursuit of an impossible dream."
Miracles from Heaven,7.1,2016,PG,Biography,Patricia Riggen,Jennifer GarnerKylie RogersMartin Henderson,44.0,"https://m.media-amazon.com/images/M/MV5BMjkyOTI5NzgxMl5BMl5BanBnXkFtZTgwNjg4MzQzNzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0,Title: Miracles from Heaven; Genre: Biography; Director: Patricia Riggen; Cast: Jennifer GarnerKylie RogersMartin Henderson,"A young girl suffering from a rare and incurable disease experiences a miraculous healing after a fall from a tree.  Her unwavering faith and her family's steadfast devotion are tested as they grapple with her illness and the uncertainty of her future.  This incredible event profoundly impacts their lives, strengthening their faith and redefining their understanding of hope.  The journey chronicles their emotional struggle and the extraordinary power of prayer and belief.  Their story becomes a testament to the unexpected miracles life can offer."
Rob Roy,6.9,1995,R,Adventure,Michael Caton-Jones,Liam NeesonJessica LangeJohn Hurt,55.0,"https://m.media-amazon.com/images/M/MV5BMTlmYzBiOGQtNmMwMS00NmU5LTgxODQtN2FiMGNmYTBlYzllXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UY281_CR0,0,190,281_.jpg",139.0,Title: Rob Roy; Genre: Adventure; Director: Michael Caton-Jones; Cast: Liam NeesonJessica LangeJohn Hurt,"In the rugged Scottish Highlands, a fiercely independent cattleman named Rob Roy MacGregor is betrayed by a powerful and corrupt nobleman.  Forced to fight for his family's survival and honor, Rob Roy embarks on a perilous quest for revenge.  His struggle pits him against a ruthless adversary and the brutal realities of 18th-century Scotland.  Through daring raids and unwavering loyalty, Rob Roy becomes a legendary symbol of defiance against tyranny."
Operation Finale,6.6,2018,PG-13,Biography,Chris Weitz,Oscar IsaacBen KingsleyMélanie Laurent,58.0,"https://m.media-amazon.com/images/M/MV5BYzE1YjI2MjctZTY2Zi00NDBhLWIzYmMtNzMzMDgwZjE4MzUxXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_QL75_UX190_CR0,0,190,281_.jpg",122.0,Title: Operation Finale; Genre: Biography; Director: Chris Weitz; Cast: Oscar IsaacBen KingsleyMélanie Laurent,"Operation Finale recounts the daring 1960s mission to capture Adolf Eichmann, one of the chief architects of the Holocaust.  A team of Mossad agents, operating secretly in Argentina, meticulously plan and execute the complex operation to bring the notorious Nazi war criminal to justice. Their meticulous efforts to abduct Eichmann and transport him to Israel face numerous obstacles and perilous risks. The film explores the moral complexities of revenge and justice as they grapple with the legacy of the Holocaust.  The successful capture marks a pivotal moment in the pursuit of accountability for the atrocities committed during World War II."
True Story,6.3,2015,R,Biography,Rupert Goold,James FrancoJonah HillFelicity Jones,50.0,"https://m.media-amazon.com/images/M/MV5BZWM2ODc1MGYtYjNkMC00MTQ0LTk1ZWYtYWVjYTg3MzhiZWFlXkEyXkFqcGdeQXVyNTUzOTUwMTk@._V1_QL75_UX190_CR0,9,190,281_.jpg",99.0,Title: True Story; Genre: Biography; Director: Rupert Goold; Cast: James FrancoJonah HillFelicity Jones,"A celebrated journalist finds his life upended when he interviews a convicted murderer claiming innocence.  The journalist, initially skeptical, becomes increasingly entangled in the suspect's story, blurring the lines between truth and fabrication.  As their relationship deepens, the journalist faces a crisis of conscience and the potential destruction of his own reputation.  The true story behind the confession unravels, revealing a complex web of deception and hidden motives.  Ultimately, he must confront the chilling possibility that he's been manipulated into believing a lie."
The Birth of a Nation,6.5,2016,R,Biography,Nate Parker,Nate ParkerJean McGianni Celestin,69.0,"https://m.media-amazon.com/images/M/MV5BMTU5MjI3NzQxMl5BMl5BanBnXkFtZTgwMTUwNjYyOTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",120.0,Title: The Birth of a Nation; Genre: Biography; Director: Nate Parker; Cast: Nate ParkerJean McGianni Celestin,"A powerful biographical drama chronicling the life of Nat Turner, a brilliant but enslaved preacher.  Driven by his faith and witnessing unspeakable cruelty, he leads a bloody slave rebellion in antebellum Virginia.  The film explores his moral struggle, the devastating consequences of his actions, and the legacy of his defiance.  It's a gripping story of faith, rebellion, and the brutal realities of American slavery."
The Banker,7.3,2020,PG-13,Biography,George Nolfi,Niceole R. LevyGeorge NolfiDavid Lewis Smith,59.0,"https://m.media-amazon.com/images/M/MV5BZWIzZmQ3Y2EtZTEyMC00MTk1LTlkMzktNmFkMjAzOWM2ZWViXkEyXkFqcGdeQXVyNjM2MDMxMDk@._V1_QL75_UX190_CR0,0,190,281_.jpg",120.0,Title: The Banker; Genre: Biography; Director: George Nolfi; Cast: Niceole R. LevyGeorge NolfiDavid Lewis Smith,"In the 1950s and 60s, two brilliant Black entrepreneurs circumvent the racist barriers of the Jim Crow South to build a financial empire.  Their audacious scheme involves a daring façade and significant risk, as they secretly finance Black communities while posing as white businessmen.  However, their success attracts unwanted attention, threatening to expose their carefully constructed lives and unravel their legacy.  Their fight for financial freedom and equality becomes a battle against a system designed to keep them down."
Dangerous Minds,6.5,1995,R,Biography,John N. Smith,Michelle PfeifferGeorge DzundzaCourtney B. Vance,46.0,"https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",99.0,Title: Dangerous Minds; Genre: Biography; Director: John N. Smith; Cast: Michelle PfeifferGeorge DzundzaCourtney B. Vance,"A tough but compassionate former Marine takes a job teaching at a challenging inner-city high school.  Facing a classroom of seemingly unruly and unmotivated students, she connects with them through unconventional methods, challenging their cynicism and unlocking their hidden potential.  Her unconventional approach sparks both resistance and profound change, forcing her to confront her own past traumas while battling the systemic issues plaguing her students' lives. The film follows her journey as she strives to inspire hope and instill a love of learning in a classroom brimming with raw emotion and untapped potential."
Gold,6.7,2016,R,Biography,Stephen Gaghan,Matthew McConaugheyEdgar RamírezBryce Dallas Howard,49.0,"https://m.media-amazon.com/images/M/MV5BNzI1NjI5OTUyM15BMl5BanBnXkFtZTgwOTM4NzY2MDI@._V1_QL75_UX190_CR0,4,190,281_.jpg",120.0,Title: Gold; Genre: Biography; Director: Stephen Gaghan; Cast: Matthew McConaugheyEdgar RamírezBryce Dallas Howard,"In the 1990s, a tenacious prospector, fueled by ambition and desperation, embarks on a perilous quest for gold in the uncharted jungles of Indonesia.  Facing treacherous terrain, corrupt officials, and dwindling resources, he clings to a desperate gamble that could make him unimaginably wealthy—or cost him everything.  His unwavering belief in a massive gold discovery pushes him to the brink of madness and moral compromise.  The line between obsession and ruin blurs as he fights to secure his fortune."
Selena,6.8,1997,PG,Biography,Gregory Nava,Jennifer LopezEdward James OlmosJon Seda,67.0,"https://m.media-amazon.com/images/M/MV5BZGE0Y2RlNmQtZDY0Ni00Njk5LWFiZWUtMzc5N2VlZTBhOGE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg",127.0,Title: Selena; Genre: Biography; Director: Gregory Nava; Cast: Jennifer LopezEdward James OlmosJon Seda,"Selena follows the meteoric rise of a young Tejano singer from her humble beginnings to international superstardom.  Driven by ambition and family, she conquers the music industry, captivating audiences with her vibrant personality and undeniable talent.  However, her dazzling success is tragically cut short, leaving behind a legacy that continues to inspire.  The film explores her triumphs, her struggles, and the complex relationships that shaped her life.  Ultimately, it's a poignant story of a gifted artist's journey, her impact, and her untimely death."
All Is True,6.3,2018,PG-13,Biography,Kenneth Branagh,Kenneth BranaghJudi DenchIan McKellen,59.0,"https://m.media-amazon.com/images/M/MV5BODI5Nzc1Nzk2Ml5BMl5BanBnXkFtZTgwNTg5MTQ5NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg",101.0,Title: All Is True; Genre: Biography; Director: Kenneth Branagh; Cast: Kenneth BranaghJudi DenchIan McKellen,"In his twilight years, a retired William Shakespeare grapples with the loss of his beloved son, Hamnet, and confronts the complexities of his legacy and family relationships.  Haunted by past regrets and the weight of his genius, he retreats to his Stratford-upon-Avon home to confront his inner demons and find solace.  As he wrestles with his personal turmoil, he begins to find unexpected peace and a renewed appreciation for life's simple joys.  The film explores the human side of the immortal playwright, revealing the man behind the masterpiece."
"McFarland, USA",7.4,2015,PG,Biography,Niki Caro,Christopher ClevelandBettina GiloisGrant Thompson,60.0,"https://m.media-amazon.com/images/M/MV5BMjMwNjY2Mjk5OV5BMl5BanBnXkFtZTgwODM2NTA0MzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",129.0,"Title: McFarland, USA; Genre: Biography; Director: Niki Caro; Cast: Christopher ClevelandBettina GiloisGrant Thompson","In McFarland, a predominantly Latino town in California, a struggling high school finds unlikely hope in its cross-country team.  Coach Jim White, initially out of his element, discovers untapped athletic talent among his students and helps them overcome personal obstacles and social prejudices.  Through rigorous training and unwavering dedication, the team transforms into a powerful force, defying expectations and uniting their community.  Their journey culminates in a state championship race, showcasing the power of teamwork, perseverance, and believing in the impossible."
The Last King of Scotland,7.6,2006,R,Biography,Kevin Macdonald,Peter MorganJeremy BrockGiles Foden,74.0,"https://m.media-amazon.com/images/M/MV5BYzZkNjNhN2QtMThmNC00YjE0LTg0ZmMtMmU5MWE4Y2NjN2RiXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UY281_CR1,0,190,281_.jpg",123.0,Title: The Last King of Scotland; Genre: Biography; Director: Kevin Macdonald; Cast: Peter MorganJeremy BrockGiles Foden,"A young Scottish doctor, drawn to the charisma of Idi Amin, becomes the Ugandan dictator's personal physician.  Initially seduced by power and Amin's seemingly benevolent charm, the doctor witnesses the increasingly brutal and erratic reign of terror unfold.  He becomes entangled in Amin's web of violence and paranoia, forced to confront the horrifying consequences of his naive ambition.  His survival depends on navigating the deadly games of a man spiraling into madness, testing the doctor's morality at every turn.  Ultimately, escape becomes a matter of life and death."
Tolkien,6.8,2019,PG-13,Biography,Dome Karukoski,Nicholas HoultLily CollinsColm Meaney,48.0,"https://m.media-amazon.com/images/M/MV5BMjUzNzA1MDczOF5BMl5BanBnXkFtZTgwODY5OTI2NzM@._V1_QL75_UX190_CR0,4,190,281_.jpg",112.0,Title: Tolkien; Genre: Biography; Director: Dome Karukoski; Cast: Nicholas HoultLily CollinsColm Meaney,"Tolkien charts the formative years of the renowned author, J.R.R. Tolkien, exploring his childhood experiences, his time fighting in the First World War, and the profound impact these events had on shaping his imagination.  His friendships at school forge a brotherhood that inspires his creative genius.  Love, loss, and the enduring power of myth intertwine as he struggles to find his voice and create the fantastical worlds that would captivate generations.  Ultimately, the film reveals the origins of Middle-earth, born from both personal tragedy and profound inspiration."
Soul Surfer,7.0,2011,PG,Biography,Sean McNamara,Sean McNamaraDeborah SchwartzDouglas Schwartz,53.0,"https://m.media-amazon.com/images/M/MV5BMTU2MDg0OTYyM15BMl5BanBnXkFtZTcwMjg5MjY0NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",112.0,Title: Soul Surfer; Genre: Biography; Director: Sean McNamara; Cast: Sean McNamaraDeborah SchwartzDouglas Schwartz,"Soul Surfer tells the inspiring true story of Bethany Hamilton, a teenage surfing prodigy whose life takes an unexpected turn when a shark attack costs her an arm.  Facing overwhelming odds, Bethany confronts her physical and emotional scars, relying on her faith and the unwavering support of her family and friends.  Through relentless determination and unwavering spirit, she fights her way back to competitive surfing, proving that even the most devastating setbacks cannot break the human spirit.  Her journey becomes a testament to resilience, faith, and the power of the human will."
Official Secrets,7.3,2019,R,Biography,Gavin Hood,Sara BernsteinGregory BernsteinGavin Hood,63.0,"https://m.media-amazon.com/images/M/MV5BZjY1NWYwZmEtNGE3Ny00YTZhLThmZTMtNGI2MDY0MGU5YmJlXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_QL75_UY281_CR0,0,190,281_.jpg",112.0,Title: Official Secrets; Genre: Biography; Director: Gavin Hood; Cast: Sara BernsteinGregory BernsteinGavin Hood,"Based on a true story, ""Official Secrets"" follows a British intelligence officer who discovers a top-secret US memo authorizing illegal eavesdropping on UN officials.  Torn between duty and conscience, she leaks the document to a journalist, sparking a high-stakes battle against powerful forces determined to silence her.  Facing imprisonment under the Official Secrets Act, she must fight to expose the truth and defend her principles. The film explores the moral complexities of whistleblowing and the price of challenging authority."
Invictus,7.3,2009,PG-13,Biography,Clint Eastwood,Morgan FreemanMatt DamonTony Kgoroge,74.0,"https://m.media-amazon.com/images/M/MV5BMjAyMzExMDM1N15BMl5BanBnXkFtZTcwNTcyMTQ5Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",134.0,Title: Invictus; Genre: Biography; Director: Clint Eastwood; Cast: Morgan FreemanMatt DamonTony Kgoroge,"In the turbulent aftermath of apartheid, South Africa's newly elected President Nelson Mandela uses the 1995 Rugby World Cup as a unifying force to heal a deeply divided nation.  He boldly befriends the Springboks, the national rugby team,  hoping their success can inspire hope and reconciliation across racial lines.  Facing skepticism and resistance, Mandela's audacious plan requires courage, leadership, and a shared belief in the power of sport to overcome historical trauma. The film charts this improbable journey towards national unity, forged on the field of play."
The Great Debaters,7.5,2007,PG-13,Biography,Denzel Washington,Robert EiseleJeffrey PorroTony Scherman,65.0,"https://m.media-amazon.com/images/M/MV5BMTQxMDc1NzkwMF5BMl5BanBnXkFtZTcwMDI5MjU1MQ@@._V1_QL75_UY281_CR2,0,190,281_.jpg",126.0,Title: The Great Debaters; Genre: Biography; Director: Denzel Washington; Cast: Robert EiseleJeffrey PorroTony Scherman,"In 1935 Texas, a brilliant but under-resourced Wiley College debate team, guided by their determined professor, confronts racial prejudice head-on.  Facing off against prestigious universities, they must overcome not only their opponents but also the deeply ingrained societal inequalities of the Jim Crow South.  Their powerful arguments and unwavering belief in justice ignite a firestorm of change, challenging the very fabric of segregation.  Through intense competition and personal sacrifices, they fight for equality, one debate at a time."
Flamin' Hot,6.7,2023,PG-13,Biography,Eva Longoria,Lewis ColickLinda Yvette ChávezRichard Montanez,58.0,"https://m.media-amazon.com/images/M/MV5BMWQ0NWQ4MzEtZGQ3Yi00NGQ5LWJlMDAtNjQzMGUxMjM3Mzg0XkEyXkFqcGdeQXVyMTU5OTc2NTk@._V1_QL75_UX190_CR0,2,190,281_.jpg",99.0,Title: Flamin' Hot; Genre: Biography; Director: Eva Longoria; Cast: Lewis ColickLinda Yvette ChávezRichard Montanez,"Richard Montanez, a janitor at Frito-Lay, dreams bigger than the factory floor.  Driven by ambition and a desire to provide for his family, he boldly pitches an idea: Flamin' Hot Cheetos.  Facing skepticism and countless obstacles, Richard fights for his revolutionary snack to hit the shelves. His unwavering determination ultimately transforms his life and inspires a cultural phenomenon.  This is the story of how a janitor became a snack food legend."
